kode_matkul,nama_matkul,sks_matakuliah,total_hadir,total_pertemuan,kode_nilai,kategori,npm_mahasiswa,rasio_kehadiran,kategori_encoded,cluster_kmeans,cluster,cluster_dbscan,cluster_agglo,cluster_gmm
SI00163,Teknologi Game,3,14,14,A,Game Making,1931173,1.0,7,1,1,1,2,11
SI00233,Desain Kreatif,3,14,14,A,Design,1931173,1.0,5,5,5,2,4,11
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931173,1.0,16,8,8,3,0,11
SI00225,Fotografi Dan Desain Multimedia,3,14,14,A,Design,1931173,1.0,5,5,5,4,4,11
SI00267,Pengembangan Startup Business,2,5,14,B,Startup,1931173,0.35714285714285715,22,7,7,5,14,7
SI00132,Manajemen Dan Audit Sistem Informasi,3,14,14,B,Manajemen,1931173,1.0,14,3,3,11,3,3
SI00273,Creative Writing,3,14,14,A,Logical Thinking,1931173,1.0,11,6,6,12,12,11
SI00240,Efek Visual,3,14,14,A,Animation,1931173,1.0,0,13,13,13,9,13
SI00290,Pengembangan Video Game,3,14,14,A,Game Making,1931173,1.0,7,0,0,14,7,11
SI00163,Teknologi Game,3,14,14,A,Game Making,1931001,1.0,7,1,1,1,2,11
SI00233,Desain Kreatif,3,14,14,A,Design,1931001,1.0,5,5,5,2,4,11
SI00208,Teknik Pemasaran Digital,3,14,14,B,Marketing,1931001,1.0,16,8,8,3,0,8
SI00225,Fotografi Dan Desain Multimedia,3,14,14,A,Design,1931001,1.0,5,5,5,4,4,11
SI00267,Pengembangan Startup Business,2,6,14,C,Startup,1931001,0.42857142857142855,22,7,7,5,14,7
SI00206,Manajemen Layanan IT,3,14,14,A,Manajemen,1931001,1.0,14,8,8,16,0,11
SI00237,Manajemen Dan Pengembangan Konten Digital,3,14,14,A,Marketing,1931001,1.0,16,2,2,17,1,11
SI00273,Creative Writing,3,14,14,A,Logical Thinking,1931001,1.0,11,6,6,12,12,11
SI00240,Efek Visual,3,14,14,A,Animation,1931001,1.0,0,13,13,13,9,13
SI00290,Pengembangan Video Game,3,14,14,A,Game Making,1931001,1.0,7,0,0,14,7,11
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931009,1.0,16,8,8,3,0,11
SI00233,Desain Kreatif,3,13,14,A,Design,1931009,0.9285714285714286,5,5,5,2,4,11
SI00163,Teknologi Game,3,13,14,A,Game Making,1931009,0.9285714285714286,7,1,1,1,2,11
SI00225,Fotografi Dan Desain Multimedia,3,14,14,A,Design,1931009,1.0,5,5,5,4,4,11
SI00267,Pengembangan Startup Business,2,5,14,B,Startup,1931009,0.35714285714285715,22,7,7,5,14,7
SI00206,Manajemen Layanan IT,3,12,14,A,Manajemen,1931009,0.8571428571428571,14,8,8,16,0,11
SI00237,Manajemen Dan Pengembangan Konten Digital,3,14,14,A,Marketing,1931009,1.0,16,2,2,17,1,11
SI00273,Creative Writing,3,10,14,A,Logical Thinking,1931009,0.7142857142857143,11,6,6,12,12,11
SI00240,Efek Visual,3,12,14,A,Animation,1931009,0.8571428571428571,0,13,13,13,9,11
SI00290,Pengembangan Video Game,3,14,14,A,Game Making,1931009,1.0,7,0,0,14,7,11
SI00163,Teknologi Game,3,12,14,A,Game Making,1931083,0.8571428571428571,7,1,1,1,2,11
SI00233,Desain Kreatif,3,13,14,A,Design,1931083,0.9285714285714286,5,5,5,2,4,11
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931083,1.0,16,8,8,3,0,11
SI00225,Fotografi Dan Desain Multimedia,3,14,14,A,Design,1931083,1.0,5,5,5,4,4,11
SI00267,Pengembangan Startup Business,2,4,14,B,Startup,1931083,0.2857142857142857,22,7,7,5,14,7
SI00237,Manajemen Dan Pengembangan Konten Digital,3,14,14,A,Marketing,1931083,1.0,16,2,2,17,1,11
SI00206,Manajemen Layanan IT,3,14,14,A,Manajemen,1931083,1.0,14,8,8,16,0,11
SI00118,Sinematografi,3,13,14,A,Movie Making,1931083,0.9285714285714286,19,14,14,19,3,14
SI00273,Creative Writing,3,14,14,B,Logical Thinking,1931083,1.0,11,6,6,12,12,5
SI00240,Efek Visual,3,13,14,A,Animation,1931083,0.9285714285714286,0,13,13,13,9,13
SI00290,Pengembangan Video Game,3,14,14,A,Game Making,1931083,1.0,7,0,0,14,7,11
SI00219,Sistem Basis Data,3,14,14,A,Basis Data,2031001,1.0,3,5,5,20,13,11
SI00224,Sistem Operasi Dan Jaringan Komunikasi Data,3,14,14,A,Hardware,2031001,1.0,8,5,5,21,4,11
SI00217,Perancangan Situs Web,3,14,14,A,Website Making,2031001,1.0,25,8,8,22,0,11
SI00157,Animasi 2D,3,14,14,A,Animation,2031001,1.0,0,1,1,23,2,11
SI00155,Struktur Data,3,14,14,A,Basic Programming,2031001,1.0,2,1,1,24,2,11
SI00249,Aplikasi Komputer Akuntansi,3,14,14,A,Basic Programming,2031001,1.0,2,13,13,25,9,11
SI00232,Kerangka Pengembangan Proyek,3,14,14,A,Logical Thinking,2031001,1.0,11,2,2,26,4,11
SI00282,Perintisan Startup Business,3,7,14,B,Startup,2031001,0.5,22,12,12,28,8,12
SI00150,Matematika Sistem Informasi,3,13,14,A,Logical Thinking,2031001,0.9285714285714286,11,3,3,29,3,11
SI00162,Pemograman Basis Data,3,14,14,A,Basis Data,2031001,1.0,3,1,1,30,2,11
SI00165,Pemograman Web,3,14,14,A,Website Making,2031001,1.0,25,8,8,31,0,11
SI00265,Wawasan Dan Aplikasi Teknologi,3,14,14,A,Logical Thinking,2031001,1.0,11,11,11,32,11,11
SI00283,Pengembangan Startup Business,3,14,14,B,Startup,2031001,1.0,22,12,12,28,8,12
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,2031001,1.0,16,8,8,3,0,11
SI00132,Manajemen Dan Audit Sistem Informasi,3,14,14,A,Manajemen,2031001,1.0,14,3,3,11,3,11
SI00225,Fotografi Dan Desain Multimedia,3,14,14,B,Design,2031001,1.0,5,5,5,4,4,2
SI00163,Teknologi Game,3,14,14,A,Game Making,2031001,1.0,7,1,1,1,2,11
SI00241,3D Animasi,3,14,14,A,Animation,2031001,1.0,0,13,13,13,9,11
SIL0128,Lab 3D Animasi,1,9,14,A,Animation,2031001,0.6428571428571429,0,9,9,33,10,10
SI00277,Game Design,3,14,14,A,Game Making,2031001,1.0,7,6,6,34,12,11
SIL0132,Lab. Game Design,1,6,14,A,Game Making,2031001,0.42857142857142855,7,4,4,35,10,10
SI00118,Sinematografi,3,14,14,A,Movie Making,2031001,1.0,19,14,14,19,3,14
SIL0077,Lab. Sinematografi,1,9,14,A,Movie Making,2031001,0.6428571428571429,19,10,10,36,6,10
SI00290,Pengembangan Video Game,3,14,14,A,Game Making,2031001,1.0,7,0,0,14,7,11
SIL0138,Lab. Pengembangan Video Game,1,8,14,A,Game Making,2031001,0.5714285714285714,7,4,4,37,5,10
SI00240,Efek Visual,3,13,14,A,Animation,2031001,0.9285714285714286,0,13,13,13,9,13
SIL0127,Lab Efek Visual,1,9,14,A,Design,2031001,0.6428571428571429,5,9,9,38,10,10
SI00233,Desain Kreatif,3,14,14,A,Design,2031001,1.0,5,5,5,2,4,11
SIL0139,Lab. Desain Kreatif,1,9,14,A,Design,2031001,0.6428571428571429,5,4,4,39,5,10
SI00219,Sistem Basis Data,3,14,14,A,Basis Data,2031002,1.0,3,5,5,20,13,11
SI00224,Sistem Operasi Dan Jaringan Komunikasi Data,3,14,14,A,Hardware,2031002,1.0,8,5,5,21,4,11
SI00217,Perancangan Situs Web,3,14,14,A,Website Making,2031002,1.0,25,8,8,22,0,11
SI00157,Animasi 2D,3,14,14,A,Animation,2031002,1.0,0,1,1,23,2,11
SI00155,Struktur Data,3,14,14,A,Basic Programming,2031002,1.0,2,1,1,24,2,11
SI00249,Aplikasi Komputer Akuntansi,3,14,14,A,Basic Programming,2031002,1.0,2,13,13,25,9,11
SI00232,Kerangka Pengembangan Proyek,3,14,14,A,Logical Thinking,2031002,1.0,11,2,2,26,4,11
SI00282,Perintisan Startup Business,3,7,14,A,Startup,2031002,0.5,22,12,12,28,8,12
SI00150,Matematika Sistem Informasi,3,13,14,A,Logical Thinking,2031002,0.9285714285714286,11,3,3,29,3,11
SI00162,Pemograman Basis Data,3,14,14,A,Basis Data,2031002,1.0,3,1,1,30,2,11
SI00165,Pemograman Web,3,14,14,A,Website Making,2031002,1.0,25,8,8,31,0,11
SI00265,Wawasan Dan Aplikasi Teknologi,3,14,14,A,Logical Thinking,2031002,1.0,11,11,11,32,11,11
SI00283,Pengembangan Startup Business,3,14,14,B,Startup,2031002,1.0,22,12,12,28,8,12
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,2031002,1.0,16,8,8,3,0,11
SI00132,Manajemen Dan Audit Sistem Informasi,3,14,14,A,Manajemen,2031002,1.0,14,3,3,11,3,11
SI00225,Fotografi Dan Desain Multimedia,3,14,14,B,Design,2031002,1.0,5,5,5,4,4,2
SI00163,Teknologi Game,3,14,14,A,Game Making,2031002,1.0,7,1,1,1,2,11
SI00118,Sinematografi,3,14,14,A,Movie Making,2031002,1.0,19,14,14,19,3,14
SI00241,3D Animasi,3,14,14,A,Animation,2031002,1.0,0,13,13,13,9,11
SIL0128,Lab 3D Animasi,1,9,14,A,Animation,2031002,0.6428571428571429,0,9,9,33,10,10
SI00277,Game Design,3,14,14,A,Game Making,2031002,1.0,7,6,6,34,12,11
SIL0132,Lab. Game Design,1,6,14,A,Game Making,2031002,0.42857142857142855,7,4,4,35,10,10
SIL0077,Lab. Sinematografi,1,9,14,A,Movie Making,2031002,0.6428571428571429,19,10,10,36,6,10
SI00290,Pengembangan Video Game,3,14,14,A,Game Making,2031002,1.0,7,0,0,14,7,11
SIL0138,Lab. Pengembangan Video Game,1,8,14,A,Game Making,2031002,0.5714285714285714,7,4,4,37,5,10
SI00240,Efek Visual,3,13,14,A,Animation,2031002,0.9285714285714286,0,13,13,13,9,13
SIL0127,Lab Efek Visual,1,9,14,A,Design,2031002,0.6428571428571429,5,9,9,38,10,10
SI00233,Desain Kreatif,3,14,14,A,Design,2031002,1.0,5,5,5,2,4,11
SIL0139,Lab. Desain Kreatif,1,9,14,A,Design,2031002,0.6428571428571429,5,4,4,39,5,10
SI00219,Sistem Basis Data,3,14,14,A,Basis Data,2031003,1.0,3,5,5,20,13,11
SI00224,Sistem Operasi Dan Jaringan Komunikasi Data,3,14,14,A,Hardware,2031003,1.0,8,5,5,21,4,11
SI00217,Perancangan Situs Web,3,14,14,A,Website Making,2031003,1.0,25,8,8,22,0,11
SI00157,Animasi 2D,3,14,14,A,Animation,2031003,1.0,0,1,1,23,2,11
SI00155,Struktur Data,3,14,14,A,Basic Programming,2031003,1.0,2,1,1,24,2,11
SI00249,Aplikasi Komputer Akuntansi,3,14,14,A,Basic Programming,2031003,1.0,2,13,13,25,9,11
SI00232,Kerangka Pengembangan Proyek,3,14,14,A,Logical Thinking,2031003,1.0,11,2,2,26,4,11
SI00282,Perintisan Startup Business,3,7,14,A,Startup,2031003,0.5,22,12,12,28,8,12
SI00150,Matematika Sistem Informasi,3,13,14,A,Logical Thinking,2031003,0.9285714285714286,11,3,3,29,3,11
SI00162,Pemograman Basis Data,3,14,14,A,Basis Data,2031003,1.0,3,1,1,30,2,11
SI00165,Pemograman Web,3,14,14,A,Website Making,2031003,1.0,25,8,8,31,0,11
SI00265,Wawasan Dan Aplikasi Teknologi,3,14,14,A,Logical Thinking,2031003,1.0,11,11,11,32,11,11
SI00283,Pengembangan Startup Business,3,14,14,B,Startup,2031003,1.0,22,12,12,28,8,12
SI00208,Teknik Pemasaran Digital,3,14,14,B,Marketing,2031003,1.0,16,8,8,3,0,8
SI00132,Manajemen Dan Audit Sistem Informasi,3,14,14,B,Manajemen,2031003,1.0,14,3,3,11,3,3
SI00212,Analisis Dan Perancangan Sistem Informasi,3,14,14,A,Basic Programming,2031003,1.0,2,5,5,40,13,11
SI00234,Machine Learning,3,14,14,A,Machine Learning,2031003,1.0,12,2,2,41,4,11
SI00160,Pemrograman Berorientasi Obyek,3,14,14,A,Basic Programming,2031003,1.0,2,1,1,42,2,11
SI00278,Perancangan Aplikasi Mobile,3,14,14,A,Mobile Development,2031003,1.0,17,12,12,43,8,11
SIL0131,Lab. Perancangan Aplikasi Mobile,1,12,14,A,Mobile Development,2031003,0.8571428571428571,17,10,10,44,6,10
SI00122,Kecerdasan Buatan,3,14,14,A,Machine Learning,2031003,1.0,12,3,3,45,3,11
SIL0079,Lab Kecerdasan Buatan,1,12,14,A,Machine Learning,2031003,0.8571428571428571,12,10,10,46,6,10
SI00239,Rekayasa Ulang Bisnis,3,14,14,A,Manajemen,2031003,1.0,14,2,2,47,1,11
SIL0133,Lab. Rekayasa Ulang Bisnis,1,10,14,A,Manajemen,2031003,0.7142857142857143,14,10,10,48,5,10
SI00160,Pemrograman Berorientasi Obyek,3,14,14,A,Basic Programming,1931037,1.0,2,1,1,42,2,11
SI00234,Machine Learning,3,14,14,A,Machine Learning,1931037,1.0,12,2,2,41,4,11
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931037,1.0,16,8,8,3,0,11
SI00212,Analisis Dan Perancangan Sistem Informasi,3,14,14,A,Basic Programming,1931037,1.0,2,5,5,40,13,11
SI00267,Pengembangan Startup Business,2,7,14,A,Startup,1931037,0.5,22,7,7,5,14,7
SI00132,Manajemen Dan Audit Sistem Informasi,3,14,14,A,Manajemen,1931037,1.0,14,3,3,11,3,11
SI00122,Kecerdasan Buatan,3,13,14,A,Machine Learning,1931037,0.9285714285714286,12,3,3,45,3,11
SI00206,Manajemen Layanan IT,3,14,14,A,Manajemen,1931037,1.0,14,8,8,16,0,11
SI00239,Rekayasa Ulang Bisnis,3,14,14,A,Manajemen,1931037,1.0,14,2,2,47,1,11
SI00278,Perancangan Aplikasi Mobile,3,14,14,A,Mobile Development,1931037,1.0,17,12,12,43,8,11
SI00286,Pengembangan Aplikasi Mobile,3,13,14,A,Mobile Development,1931037,0.9285714285714286,17,0,0,49,7,11
SI00289,IT Governance,3,14,14,A,Manajemen,1931037,1.0,14,0,0,50,7,11
SI00163,Teknologi Game,3,13,14,A,Game Making,1931047,0.9285714285714286,7,1,1,1,2,11
SI00233,Desain Kreatif,3,14,14,A,Design,1931047,1.0,5,5,5,2,4,11
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931047,1.0,16,8,8,3,0,11
SI00225,Fotografi Dan Desain Multimedia,3,14,14,A,Design,1931047,1.0,5,5,5,4,4,11
SI00267,Pengembangan Startup Business,2,6,14,B,Startup,1931047,0.42857142857142855,22,7,7,5,14,7
SI00206,Manajemen Layanan IT,3,14,14,A,Manajemen,1931047,1.0,14,8,8,16,0,11
SI00237,Manajemen Dan Pengembangan Konten Digital,3,14,14,A,Marketing,1931047,1.0,16,2,2,17,1,11
SI00273,Creative Writing,3,14,14,B,Logical Thinking,1931047,1.0,11,6,6,12,12,5
SI00240,Efek Visual,3,14,14,A,Animation,1931047,1.0,0,13,13,13,9,13
SI00290,Pengembangan Video Game,3,14,14,A,Game Making,1931047,1.0,7,0,0,14,7,11
SI00163,Teknologi Game,3,13,14,A,Game Making,1931055,0.9285714285714286,7,1,1,1,2,11
SI00233,Desain Kreatif,3,13,14,A,Design,1931055,0.9285714285714286,5,5,5,2,4,11
SI00208,Teknik Pemasaran Digital,3,14,14,B,Marketing,1931055,1.0,16,8,8,3,0,8
SI00225,Fotografi Dan Desain Multimedia,3,14,14,A,Design,1931055,1.0,5,5,5,4,4,11
SI00267,Pengembangan Startup Business,2,6,14,B,Startup,1931055,0.42857142857142855,22,7,7,5,14,7
SI00237,Manajemen Dan Pengembangan Konten Digital,3,14,14,A,Marketing,1931055,1.0,16,2,2,17,1,11
SI00206,Manajemen Layanan IT,3,13,14,A,Manajemen,1931055,0.9285714285714286,14,8,8,16,0,11
SI00118,Sinematografi,3,12,14,A,Movie Making,1931055,0.8571428571428571,19,14,14,19,3,14
SI00273,Creative Writing,3,13,14,C,Logical Thinking,1931055,0.9285714285714286,11,6,6,12,12,5
SI00240,Efek Visual,3,14,14,B,Animation,1931055,1.0,0,13,13,13,9,6
SI00290,Pengembangan Video Game,3,14,14,A,Game Making,1931055,1.0,7,0,0,14,7,11
SI00160,Pemrograman Berorientasi Obyek,3,14,14,A,Basic Programming,1931117,1.0,2,1,1,42,2,11
SI00234,Machine Learning,3,13,14,B,Machine Learning,1931117,0.9285714285714286,12,2,2,41,4,2
SI00208,Teknik Pemasaran Digital,3,13,14,B,Marketing,1931117,0.9285714285714286,16,8,8,3,0,8
SI00212,Analisis Dan Perancangan Sistem Informasi,3,14,14,A,Basic Programming,1931117,1.0,2,5,5,40,13,11
SI00267,Pengembangan Startup Business,2,7,14,B,Startup,1931117,0.5,22,7,7,5,14,7
SI00132,Manajemen Dan Audit Sistem Informasi,3,14,14,B,Manajemen,1931117,1.0,14,3,3,11,3,3
SI00122,Kecerdasan Buatan,3,14,14,A,Machine Learning,1931117,1.0,12,3,3,45,3,11
SI00206,Manajemen Layanan IT,3,14,14,A,Manajemen,1931117,1.0,14,8,8,16,0,11
SI00239,Rekayasa Ulang Bisnis,3,14,14,A,Manajemen,1931117,1.0,14,2,2,47,1,11
SI00278,Perancangan Aplikasi Mobile,3,14,14,B,Mobile Development,1931117,1.0,17,12,12,43,8,5
SI00286,Pengembangan Aplikasi Mobile,3,14,14,A,Mobile Development,1931117,1.0,17,0,0,49,7,11
SI00289,IT Governance,3,14,14,B,Manajemen,1931117,1.0,14,0,0,50,7,6
SI00163,Teknologi Game,3,14,14,A,Game Making,1931185,1.0,7,1,1,1,2,11
SI00233,Desain Kreatif,3,13,14,A,Design,1931185,0.9285714285714286,5,5,5,2,4,11
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931185,1.0,16,8,8,3,0,11
SI00225,Fotografi Dan Desain Multimedia,3,14,14,A,Design,1931185,1.0,5,5,5,4,4,11
SI00267,Pengembangan Startup Business,2,4,14,B,Startup,1931185,0.2857142857142857,22,7,7,5,14,7
SI00237,Manajemen Dan Pengembangan Konten Digital,3,9,14,B,Marketing,1931185,0.6428571428571429,16,2,2,17,1,5
SI00206,Manajemen Layanan IT,3,9,14,E,Manajemen,1931185,0.6428571428571429,14,8,8,-1,0,5
SI00118,Sinematografi,3,2,14,E,Movie Making,1931185,0.14285714285714285,19,14,14,19,3,5
SI00163,Teknologi Game,3,13,14,A,Game Making,1931064,0.9285714285714286,7,1,1,1,2,11
SI00233,Desain Kreatif,3,14,14,A,Design,1931064,1.0,5,5,5,2,4,11
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931064,1.0,16,8,8,3,0,11
SI00225,Fotografi Dan Desain Multimedia,3,14,14,A,Design,1931064,1.0,5,5,5,4,4,11
SI00267,Pengembangan Startup Business,2,5,14,A,Startup,1931064,0.35714285714285715,22,7,7,5,14,7
SI00237,Manajemen Dan Pengembangan Konten Digital,3,13,14,A,Marketing,1931064,0.9285714285714286,16,2,2,17,1,11
SI00206,Manajemen Layanan IT,3,14,14,E,Manajemen,1931064,1.0,14,8,8,-1,0,5
SI00118,Sinematografi,3,7,14,E,Movie Making,1931064,0.5,19,14,14,19,3,14
SI00160,Pemrograman Berorientasi Obyek,3,14,14,A,Basic Programming,1931102,1.0,2,1,1,42,2,11
SI00234,Machine Learning,3,14,14,B,Machine Learning,1931102,1.0,12,2,2,41,4,2
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931102,1.0,16,8,8,3,0,11
SI00212,Analisis Dan Perancangan Sistem Informasi,3,14,14,B,Basic Programming,1931102,1.0,2,5,5,40,13,2
SI00267,Pengembangan Startup Business,2,7,14,B,Startup,1931102,0.5,22,7,7,5,14,7
SI00278,Perancangan Aplikasi Mobile,3,14,14,A,Mobile Development,1931102,1.0,17,12,12,43,8,11
SI00091,Sistem Basis Data Enterprise,3,0,14,A,Basis Data,1931102,0.0,3,3,3,-1,3,5
SI00281,Enterprise Resource Planning,3,0,14,A,Manajemen,1931102,0.0,14,12,12,-1,8,5
SI00006,Metodologi Perancangan Program,3,0,14,A,Manajemen,1931102,0.0,14,14,14,-1,3,5
SI00289,IT Governance,3,0,14,A,Manajemen,1931102,0.0,14,0,0,50,7,5
SI00286,Pengembangan Aplikasi Mobile,3,0,14,A,Mobile Development,1931102,0.0,17,0,0,49,7,5
SI00132,Manajemen Dan Audit Sistem Informasi,3,0,14,A,Manajemen,1931102,0.0,14,3,3,11,3,5
SI00160,Pemrograman Berorientasi Obyek,3,14,14,A,Basic Programming,1931177,1.0,2,1,1,42,2,11
SI00234,Machine Learning,3,14,14,C,Machine Learning,1931177,1.0,12,2,2,41,4,2
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931177,1.0,16,8,8,3,0,11
SI00212,Analisis Dan Perancangan Sistem Informasi,3,14,14,B,Basic Programming,1931177,1.0,2,5,5,40,13,2
SI00267,Pengembangan Startup Business,2,7,14,B,Startup,1931177,0.5,22,7,7,5,14,7
SI00132,Manajemen Dan Audit Sistem Informasi,3,14,14,B,Manajemen,1931177,1.0,14,3,3,11,3,3
SI00122,Kecerdasan Buatan,3,14,14,A,Machine Learning,1931177,1.0,12,3,3,45,3,11
SI00206,Manajemen Layanan IT,3,13,14,B,Manajemen,1931177,0.9285714285714286,14,8,8,16,0,8
SI00239,Rekayasa Ulang Bisnis,3,14,14,B,Manajemen,1931177,1.0,14,2,2,47,1,2
SI00278,Perancangan Aplikasi Mobile,3,14,14,B,Mobile Development,1931177,1.0,17,12,12,43,8,5
SI00286,Pengembangan Aplikasi Mobile,3,13,14,B,Mobile Development,1931177,0.9285714285714286,17,0,0,49,7,5
SI00289,IT Governance,3,14,14,A,Manajemen,1931177,1.0,14,0,0,50,7,11
SI00160,Pemrograman Berorientasi Obyek,3,14,14,A,Basic Programming,1931151,1.0,2,1,1,42,2,11
SI00234,Machine Learning,3,14,14,C,Machine Learning,1931151,1.0,12,2,2,41,4,2
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931151,1.0,16,8,8,3,0,11
SI00212,Analisis Dan Perancangan Sistem Informasi,3,14,14,B,Basic Programming,1931151,1.0,2,5,5,40,13,2
SI00267,Pengembangan Startup Business,2,7,14,B,Startup,1931151,0.5,22,7,7,5,14,7
SI00132,Manajemen Dan Audit Sistem Informasi,3,14,14,B,Manajemen,1931151,1.0,14,3,3,11,3,3
SI00122,Kecerdasan Buatan,3,13,14,A,Machine Learning,1931151,0.9285714285714286,12,3,3,45,3,11
SI00206,Manajemen Layanan IT,3,14,14,B,Manajemen,1931151,1.0,14,8,8,16,0,8
SI00239,Rekayasa Ulang Bisnis,3,14,14,B,Manajemen,1931151,1.0,14,2,2,47,1,2
SI00278,Perancangan Aplikasi Mobile,3,14,14,B,Mobile Development,1931151,1.0,17,12,12,43,8,5
SI00286,Pengembangan Aplikasi Mobile,3,13,14,A,Mobile Development,1931151,0.9285714285714286,17,0,0,49,7,11
SI00289,IT Governance,3,14,14,B,Manajemen,1931151,1.0,14,0,0,50,7,6
SI00163,Teknologi Game,3,5,14,E,Game Making,1931084,0.35714285714285715,7,1,1,1,2,5
SI00233,Desain Kreatif,3,2,14,E,Design,1931084,0.14285714285714285,5,5,5,53,4,5
SI00208,Teknik Pemasaran Digital,3,7,14,E,Marketing,1931084,0.5,16,8,8,3,0,5
SI00225,Fotografi Dan Desain Multimedia,3,13,14,E,Design,1931084,0.9285714285714286,5,5,5,4,4,5
SI00267,Pengembangan Startup Business,2,3,14,E,Startup,1931084,0.21428571428571427,22,7,7,-1,14,7
SI00237,Manajemen Dan Pengembangan Konten Digital,3,13,14,A,Marketing,1931084,0.9285714285714286,16,2,2,17,1,11
SI00206,Manajemen Layanan IT,3,11,14,A,Manajemen,1931084,0.7857142857142857,14,8,8,16,0,11
SI00118,Sinematografi,3,10,14,B,Movie Making,1931084,0.7142857142857143,19,14,14,19,3,14
SI00283,Pengembangan Startup Business,3,11,14,E,Startup,1931084,0.7857142857142857,22,12,12,-1,8,5
SI00208,Teknik Pemasaran Digital,3,0,14,E,Marketing,1931084,0.0,16,8,8,3,0,5
SI00132,Manajemen Dan Audit Sistem Informasi,3,6,14,E,Manajemen,1931084,0.42857142857142855,14,3,3,-1,3,5
SI00225,Fotografi Dan Desain Multimedia,3,1,14,E,Design,1931084,0.07142857142857142,5,5,5,4,4,5
SI00163,Teknologi Game,3,13,14,B,Game Making,1931084,0.9285714285714286,7,1,1,1,2,8
SI00160,Pemrograman Berorientasi Obyek,3,14,14,A,Basic Programming,1931172,1.0,2,1,1,42,2,11
SI00234,Machine Learning,3,12,14,B,Machine Learning,1931172,0.8571428571428571,12,2,2,41,4,5
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931172,1.0,16,8,8,3,0,11
SI00212,Analisis Dan Perancangan Sistem Informasi,3,14,14,B,Basic Programming,1931172,1.0,2,5,5,40,13,2
SI00267,Pengembangan Startup Business,2,7,14,B,Startup,1931172,0.5,22,7,7,5,14,7
SI00132,Manajemen Dan Audit Sistem Informasi,3,14,14,B,Manajemen,1931172,1.0,14,3,3,11,3,3
SI00122,Kecerdasan Buatan,3,14,14,A,Machine Learning,1931172,1.0,12,3,3,45,3,11
SI00206,Manajemen Layanan IT,3,13,14,B,Manajemen,1931172,0.9285714285714286,14,8,8,16,0,8
SI00239,Rekayasa Ulang Bisnis,3,14,14,B,Manajemen,1931172,1.0,14,2,2,47,1,2
SI00278,Perancangan Aplikasi Mobile,3,14,14,B,Mobile Development,1931172,1.0,17,12,12,43,8,5
SI00286,Pengembangan Aplikasi Mobile,3,14,14,B,Mobile Development,1931172,1.0,17,0,0,49,7,5
SI00289,IT Governance,3,14,14,A,Manajemen,1931172,1.0,14,0,0,50,7,11
SI00160,Pemrograman Berorientasi Obyek,3,14,14,A,Basic Programming,1931126,1.0,2,1,1,42,2,11
SI00234,Machine Learning,3,14,14,B,Machine Learning,1931126,1.0,12,2,2,41,4,2
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931126,1.0,16,8,8,3,0,11
SI00212,Analisis Dan Perancangan Sistem Informasi,3,14,14,B,Basic Programming,1931126,1.0,2,5,5,40,13,2
SI00267,Pengembangan Startup Business,2,7,14,B,Startup,1931126,0.5,22,7,7,5,14,7
SI00132,Manajemen Dan Audit Sistem Informasi,3,14,14,B,Manajemen,1931126,1.0,14,3,3,11,3,3
SI00122,Kecerdasan Buatan,3,14,14,A,Machine Learning,1931126,1.0,12,3,3,45,3,11
SI00206,Manajemen Layanan IT,3,13,14,B,Manajemen,1931126,0.9285714285714286,14,8,8,16,0,8
SI00239,Rekayasa Ulang Bisnis,3,14,14,B,Manajemen,1931126,1.0,14,2,2,47,1,2
SI00278,Perancangan Aplikasi Mobile,3,14,14,B,Mobile Development,1931126,1.0,17,12,12,43,8,5
SI00286,Pengembangan Aplikasi Mobile,3,14,14,A,Mobile Development,1931126,1.0,17,0,0,49,7,11
SI00289,IT Governance,3,14,14,B,Manajemen,1931126,1.0,14,0,0,50,7,6
SI00160,Pemrograman Berorientasi Obyek,3,14,14,A,Basic Programming,1931132,1.0,2,1,1,42,2,11
SI00234,Machine Learning,3,14,14,B,Machine Learning,1931132,1.0,12,2,2,41,4,2
SI00208,Teknik Pemasaran Digital,3,14,14,A,Marketing,1931132,1.0,16,8,8,3,0,11
SI00212,Analisis Dan Perancangan Sistem Informasi,3,13,14,B,Basic Programming,1931132,0.9285714285714286,2,5,5,40,13,2
SI00267,Pengembangan Startup Business,2,7,14,B,Startup,1931132,0.5,22,7,7,5,14,7
SI00132,Manajemen Dan Audit Sistem Informasi,3,14,14,A,Manajemen,1931132,1.0,14,3,3,11,3,11
